code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
CKD;PACJ;America/Anchorage;-9;-9;-8;Crooked Creek Airport;4420
CKN;KCKN;America/Chicago;-6;-6;-5;Crookston Municipal Airport-Kirkwood Field;4421
CSM;KCSM;America/Chicago;-6;-6;-5;Clinton-Sherman Airport;4422
CSO;EDBC;Europe/Berlin;1;1;2;Magdeburg–Cochstedt Airport;4423
CVC;YCEE;Australia/Adelaide;10,5;9,5;9,5;Cleve Airport;4424
DEF;OIAD;Asia/Tehran;3,5;3,5;3,5;Dezful Airport;4425
DHR;EHKD;Europe/Amsterdam;1;1;2;De Kooy;4426
DLV;YDLV;Australia/Darwin;9,5;9,5;9,5;Delissaville Airport;4427
EKN;KEKN;America/New_York;-5;-5;-4;Jennings Randolph Field;4428
EML;LSME;Europe/Zurich;1;1;2;Emmen Air Base;4429
ENK;EGAB;Europe/London;0;0;1;Enniskillen Airport;4430
EVW;KEVW;America/Denver;-7;-7;-6;Evanston-Uinta County Burns Field;4431
FHU;KFHU;America/Phoenix;-7;-7;-7;Sierra Vista Municipal Libby Army Air Field;4432
FRM;KFRM;America/Chicago;-6;-6;-5;Fairmont Municipal Airport;4433
FSK;KFSK;America/Chicago;-6;-6;-5;Fort Scott Municipal Airport;4434
GAT;LFNA;Europe/Paris;1;1;2;Gap–Tallard Airport;4435
GBR;KGBR;America/New_York;-5;-5;-4;Walter J. Koladza Airport;4436
GJR;BIGJ;Atlantic/Reykjavik;0;0;0;Gjögur Airport;4437
GMD;GMMB;Africa/Casablanca;1;0;1;Ben Slimane Airport;4438
GOZ;LBGO;Europe/Sofia;2;2;3;Gorna Orechovista;4439
GRN;KGRN;America/Denver;-7;-7;-6;Gordon Municipal Airport;4440
GUY;KGUY;America/Chicago;-6;-6;-5;Guymon Municipal Airport;4441
GYP;YGYM;Australia/Brisbane;10;10;10;Gympie Airport;4442
HMS;WAGB;Asia/Pontianak;7;7;7;Haji Muhammad Sidik Airport;4443
HON;KHON;America/Chicago;-6;-6;-5;Huron Regional Airport;4444
HRA;;;;;;;4445
HSM;YHSM;Australia/Melbourne;11;10;10;Horsham Airport;4446
HTV;KUTS;America/Chicago;-6;-6;-5;Huntsville Municipal Airport;4447
IGG;PAIG;America/Anchorage;-9;-9;-8;Igiugig Airport;4448
IKK;KIKK;America/Chicago;-6;-6;-5;Greater Kankakee Airport;4449
ILS;MSSS;America/El_Salvador;-6;-6;-6;Ilopango International Airport;4450
IRC;PACR;America/Anchorage;-9;-9;-8;Circle City Airport;4451
IRS;KIRS;America/Detroit;-5;-5;-4;Kirsch Municipal Airport;4452
ITB;SBIH;America/Santarem;-3;-3;-3;Itaituba;4453
IXW;VEJS;Asia/Kolkata;5,5;5,5;5,5;Jamshedpur;4454
JAA;OAJL;Asia/Kabul;4,5;4,5;4,5;Jal?l?b?d Airfield;4455
JAM;LBIA;Europe/Sofia;2;2;3;Bezmer Air Base;4456
JIO;;;;;;;4457
KCE;YCSV;Australia/Brisbane;10;10;10;Collinsville Airport;4458
